year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,139,0,56,83,34428.04316546763,0,65000
2026-07,ae-group-live-tour-runway,2026-07-05,12:30,横浜アリーナ,112,0,50,62,35239.27678571428,15000,72000
2026-07,ae-group-live-tour-runway,2026-07-05,17:00,横浜アリーナ,157,0,66,91,33121.74522292994,0,70000
2026-07,ae-group-live-tour-runway,2026-07-06,18:00,横浜アリーナ,161,0,68,93,30759.60248447205,0,80000
2026-07,ae-group-live-tour-runway,2026-07-07,12:30,横浜アリーナ,131,0,60,71,36845.20610687023,13000,60000
2026-07,ae-group-live-tour-runway,2026-07-07,17:00,横浜アリーナ,163,0,74,89,34856.19018404908,0,65000
2026-07,ae-group-live-tour-runway,2026-07-11,18:00,エコパアリーナ,269,89,71,109,35353.50185873606,0,580000
2026-07,ae-group-live-tour-runway,2026-07-12,12:30,エコパアリーナ,211,73,58,80,41042.56398104265,0,100000
2026-07,ae-group-live-tour-runway,2026-07-12,17:00,エコパアリーナ,310,103,108,99,44499.14838709677,0,100000
2026-07,kojiken-2026,2026-07-24,15:00,EX THEATER ROPPONGI（東京都）,9,7,1,1,39666.666666666664,0,60000
2026-07,kojiken-2026,2026-07-24,19:00,EX THEATER ROPPONGI（東京都）,12,8,1,3,33916.666666666664,0,50000
2026-07,kojiken-2026,2026-07-25,13:00,EX THEATER ROPPONGI（東京都）,9,8,1,0,36444.444444444445,0,70000
2026-07,kojiken-2026,2026-07-25,17:00,EX THEATER ROPPONGI（東京都）,8,7,0,1,44375.0,33000,50000
