year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,139,0,56,83,34428.04316546763,0,65000
2026-07,ae-group-live-tour-runway,2026-07-05,12:30,横浜アリーナ,112,0,50,62,35239.27678571428,15000,72000
2026-07,ae-group-live-tour-runway,2026-07-05,17:00,横浜アリーナ,157,0,66,91,33121.74522292994,0,70000
2026-07,ae-group-live-tour-runway,2026-07-06,18:00,横浜アリーナ,161,0,68,93,30759.60248447205,0,80000
2026-07,ae-group-live-tour-runway,2026-07-07,12:30,横浜アリーナ,131,0,60,71,36845.20610687023,13000,60000
2026-07,ae-group-live-tour-runway,2026-07-07,17:00,横浜アリーナ,163,0,74,89,34856.19018404908,0,65000
2026-07,ae-group-live-tour-runway,2026-07-11,18:00,エコパアリーナ,222,91,57,74,37631.05855855856,0,580000
2026-07,ae-group-live-tour-runway,2026-07-12,12:30,エコパアリーナ,192,76,53,63,41566.046875,0,100000
2026-07,ae-group-live-tour-runway,2026-07-12,17:00,エコパアリーナ,281,103,96,82,44399.89679715302,0,100000
2026-07,kojiken-2026,2026-07-24,15:00,EX THEATER ROPPONGI（東京都）,5,3,1,1,42600.0,35000,60000
2026-07,kojiken-2026,2026-07-24,19:00,EX THEATER ROPPONGI（東京都）,5,5,0,0,33600.0,0,50000
2026-07,kojiken-2026,2026-07-25,13:00,EX THEATER ROPPONGI（東京都）,5,4,1,0,25000.0,0,45000
2026-07,kojiken-2026,2026-07-25,17:00,EX THEATER ROPPONGI（東京都）,6,6,0,0,46333.333333333336,35000,50000
