year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-06,wendy-and-peter-pan,2026-06-21,13:00,[東京都] THEATER MILANO-Za,3,0,3,0,32000.0,21000,43000
2026-06,wendy-and-peter-pan,2026-06-25,13:00,[東京都] THEATER MILANO-Za,3,0,0,3,21000.0,0,43000
2026-06,wendy-and-peter-pan,2026-06-25,18:00,[東京都] THEATER MILANO-Za,10,1,3,6,29769.3,0,50000
2026-06,wendy-and-peter-pan,2026-06-26,13:00,[東京都] THEATER MILANO-Za,20,3,4,13,30600.0,0,80000
2026-06,wendy-and-peter-pan,2026-06-27,13:00,[東京都] THEATER MILANO-Za,11,6,3,2,62272.72727272727,27000,210000
2026-06,wendy-and-peter-pan,2026-06-27,18:00,[東京都] THEATER MILANO-Za,8,2,3,3,38375.0,0,90000
2026-06,wendy-and-peter-pan,2026-06-28,13:00,[東京都] THEATER MILANO-Za,10,6,2,2,41100.0,0,130000
2026-06,wendy-and-peter-pan,2026-06-29,13:00,[東京都] THEATER MILANO-Za,1,1,0,0,40000.0,40000,40000
2026-06,wendy-and-peter-pan,2026-06-29,18:00,[東京都] THEATER MILANO-Za,15,8,0,7,24066.666666666668,0,39000
2026-06,wendy-and-peter-pan,2026-07-01,18:00,[東京都] THEATER MILANO-Za,9,3,3,3,25092.222222222223,0,70000
2026-06,wendy-and-peter-pan,2026-07-02,13:00,[東京都] THEATER MILANO-Za,2,2,0,0,17450.0,0,34900
2026-06,wendy-and-peter-pan,2026-07-02,18:00,[東京都] THEATER MILANO-Za,1,1,0,0,0.0,0,0
2026-06,wendy-and-peter-pan,2026-07-03,13:00,[東京都] THEATER MILANO-Za,4,1,2,1,32250.0,20000,40000
2026-06,wendy-and-peter-pan,2026-07-04,13:00,[東京都] THEATER MILANO-Za,8,7,0,1,60625.0,0,215000
2026-06,wendy-and-peter-pan,2026-07-05,13:00,[東京都] THEATER MILANO-Za,13,7,1,5,39384.61538461538,0,180000
2026-06,wendy-and-peter-pan,2026-07-13,15:00,[大阪府] フェニーチェ堺 大ホール,7,6,1,0,28785.714285714286,0,42000
2026-06,wendy-and-peter-pan,2026-07-14,13:00,[大阪府] フェニーチェ堺 大ホール,3,2,0,1,45666.666666666664,35000,52000
2026-06,wendy-and-peter-pan,2026-07-15,13:00,[大阪府] フェニーチェ堺 大ホール,5,4,0,1,23800.0,0,55000
2026-06,wendy-and-peter-pan,2026-07-15,18:00,[大阪府] フェニーチェ堺 大ホール,6,4,1,1,23833.333333333332,0,50000
2026-06,wendy-and-peter-pan,2026-07-16,13:00,[大阪府] フェニーチェ堺 大ホール,3,3,0,0,46666.666666666664,0,90000
2026-06,wendy-and-peter-pan,2026-07-17,13:00,[大阪府] フェニーチェ堺 大ホール,8,7,1,0,47500.0,28000,100000
2026-06,wendy-and-peter-pan,2026-07-19,15:00,[大阪府] フェニーチェ堺 大ホール,9,3,5,1,33980.88888888889,17500,60000
2026-06,wendy-and-peter-pan,2026-07-20,13:00,[大阪府] フェニーチェ堺 大ホール,15,11,3,1,48638.666666666664,0,130000
2026-06,yakusoku-no-hate,2026-09-28,,[東京都] 東京国際フォーラム ホールA,1,1,0,0,50000.0,50000,50000
2026-06,yakusoku-no-hate,2026-09-29,13:00,[東京都] 東京国際フォーラム ホールA,3,2,0,1,45666.666666666664,39000,50000
