year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-06,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,59,31,25,3,28997.338983050846,2000,73000
2026-06,ae-group-live-tour-runway,2026-07-05,12:30,横浜アリーナ,58,34,19,5,28493.103448275862,0,79000
2026-06,ae-group-live-tour-runway,2026-07-05,17:00,横浜アリーナ,68,31,30,7,31161.70588235294,0,63000
2026-06,ae-group-live-tour-runway,2026-07-06,18:00,横浜アリーナ,61,35,22,4,30568.852459016394,1000,70000
2026-06,ae-group-live-tour-runway,2026-07-07,12:30,横浜アリーナ,42,25,14,3,32580.714285714286,1300,72000
2026-06,ae-group-live-tour-runway,2026-07-07,17:00,横浜アリーナ,59,20,37,2,25723.728813559323,0,60000
2026-06,ae-group-live-tour-runway,2026-07-11,18:00,エコパアリーナ,36,30,6,0,44052.77777777778,0,70000
2026-06,ae-group-live-tour-runway,2026-07-12,12:30,エコパアリーナ,38,30,6,2,51118.42105263158,20000,77000
2026-06,ae-group-live-tour-runway,2026-07-12,17:00,エコパアリーナ,53,44,7,2,53393.96226415094,0,115000
2026-06,osomatsusan-movie-greeting,2026-06-23,15:30,六本木ヒルズ,9,7,0,2,72000.0,0,190000
