year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,kimi-to-hanabi-to-yakusoku-to-greeting,2026-07-17,15:40,新宿ピカデリー,23,0,8,15,7439.130434782609,0,40000
2026-07,kimi-to-hanabi-to-yakusoku-to-greeting,2026-07-17,18:55,新宿ピカデリー,18,0,5,13,14908.611111111111,3000,95000
2026-07,nika-game,2026-08-07,15:00,EX THEATER ROPPONGI（東京都）,49,5,9,35,35971.65306122449,25000,50000
2026-07,nika-game,2026-08-07,19:00,EX THEATER ROPPONGI（東京都）,37,2,4,31,38770.24324324324,25000,69999
2026-07,nika-game,2026-08-08,11:00,EX THEATER ROPPONGI（東京都）,53,5,6,42,33415.54716981132,16000,50000
2026-07,nika-game,2026-08-08,15:00,EX THEATER ROPPONGI（東京都）,119,15,7,97,36865.95798319328,17000,100000
2026-07,nika-game,2026-08-09,11:00,EX THEATER ROPPONGI（東京都）,32,2,7,23,34048.0,16000,50000
2026-07,nika-game,2026-08-09,15:00,EX THEATER ROPPONGI（東京都）,88,10,7,71,30693.795454545456,0,50000
2026-07,sponge-shino-fes,2026-07-27,15:00,EX THEATER ROPPONGI（東京都）,149,14,18,117,26104.959731543626,0,80000
2026-07,sponge-shino-fes,2026-07-27,19:00,EX THEATER ROPPONGI（東京都）,219,22,16,181,22907.666666666668,8000,65000
2026-07,sponge-shino-fes,2026-07-28,13:00,EX THEATER ROPPONGI（東京都）,62,6,4,52,23785.387096774193,12000,55000
2026-07,sponge-shino-fes,2026-07-28,17:00,EX THEATER ROPPONGI（東京都）,192,18,9,165,26006.770833333332,0,80000
2026-07,timelesz-live-tour-2026-momentum,2026-07-01,17:30,横浜アリーナ,8,0,3,5,41500.0,5000,70000
2026-07,timelesz-live-tour-2026-momentum,2026-07-02,12:30,横浜アリーナ,34,0,13,21,42147.67647058824,0,70000
2026-07,timelesz-live-tour-2026-momentum,2026-07-02,17:30,横浜アリーナ,50,0,19,31,50346.82,10341,160000
2026-07,timelesz-live-tour-2026-momentum,2026-07-25,17:00,真駒内セキスイハイムアイスアリーナ,154,8,30,116,48167.37662337662,5500,150000
2026-07,timelesz-live-tour-2026-momentum,2026-07-26,13:00,真駒内セキスイハイムアイスアリーナ,154,17,9,128,42046.87012987013,5500,90000
2026-07,timelesz-live-tour-2026-momentum,2026-07-26,17:30,真駒内セキスイハイムアイスアリーナ,133,22,16,95,39041.338345864664,0,100000
2026-07,timelesz-live-tour-2026-momentum,2026-07-31,18:00,大阪城ホール,150,19,17,114,66775.34666666666,0,280000
2026-07,timelesz-live-tour-2026-momentum,2026-08-01,13:00,大阪城ホール,108,14,10,84,72268.51851851853,0,180000
2026-07,timelesz-live-tour-2026-momentum,2026-08-01,17:30,大阪城ホール,123,15,12,96,71220.18699186992,0,250000
2026-07,timelesz-live-tour-2026-momentum,2026-08-15,17:00,マリンメッセ福岡A館,49,9,3,37,55906.12244897959,0,75000
2026-07,timelesz-live-tour-2026-momentum,2026-08-16,13:00,マリンメッセ福岡A館,82,16,3,63,50410.9756097561,29000,80000
2026-07,timelesz-live-tour-2026-momentum,2026-08-16,17:30,マリンメッセ福岡A館,111,20,7,84,51868.46846846847,0,80000
2026-07,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,89,14,2,73,43660.651685393255,5200,80000
2026-07,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,60,7,5,48,43539.833333333336,5500,80000
2026-07,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,195,31,7,157,53723.07692307692,0,150000
