year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-06,naniwa-danshi-nd5,2026-07-11,13:30,[北海道] 北海道立総合体育センター（北海きたえーる）,67,49,11,7,53212.567164179105,0,86000
2026-06,naniwa-danshi-nd5,2026-07-11,18:00,[北海道] 北海道立総合体育センター（北海きたえーる）,41,34,4,3,47414.634146341465,0,78000
2026-06,naniwa-danshi-nd5,2026-07-12,14:00,[北海道] 北海道立総合体育センター（北海きたえーる）,35,26,7,2,50457.485714285714,0,100000
2026-06,naniwa-danshi-nd5,2026-07-18,13:30,マリンメッセ福岡A館,21,16,1,4,46261.90476190476,0,80000
2026-06,naniwa-danshi-nd5,2026-07-18,18:00,マリンメッセ福岡A館,21,16,3,2,49074.28571428572,0,85000
2026-06,naniwa-danshi-nd5,2026-07-19,13:00,マリンメッセ福岡A館,24,17,5,2,52344.166666666664,0,80000
2026-06,naniwa-danshi-nd5,2026-07-19,17:30,マリンメッセ福岡A館,24,20,2,2,53578.541666666664,0,99000
2026-06,naniwa-danshi-nd5,2026-07-28,18:00,大阪城ホール,24,11,12,1,67599.54166666667,30000,85000
2026-06,naniwa-danshi-nd5,2026-07-29,13:30,大阪城ホール,13,9,4,0,57307.692307692305,0,89000
2026-06,naniwa-danshi-nd5,2026-07-29,18:00,大阪城ホール,18,12,4,2,58166.666666666664,0,85000
2026-06,naniwa-danshi-nd5,2026-08-05,13:00,横浜アリーナ,13,11,1,1,63153.846153846156,0,90000
2026-06,naniwa-danshi-nd5,2026-08-05,18:00,横浜アリーナ,11,10,1,0,63545.454545454544,0,85000
2026-06,naniwa-danshi-nd5,2026-08-06,13:00,横浜アリーナ,6,5,0,1,62000.0,48000,80000
2026-06,naniwa-danshi-nd5,2026-08-06,18:00,横浜アリーナ,8,7,1,0,68333.25,60000,72222
2026-06,naniwa-danshi-nd5,2026-08-07,13:00,横浜アリーナ,8,6,1,1,70375.0,60000,78000
2026-06,naniwa-danshi-nd5,2026-08-07,18:00,横浜アリーナ,16,11,3,2,69591.4375,10341,102000
2026-06,naniwa-danshi-nd5,2026-08-15,13:30,セキスイハイムスーパーアリーナ,14,13,1,0,71642.85714285714,35000,98000
2026-06,naniwa-danshi-nd5,2026-08-15,18:00,セキスイハイムスーパーアリーナ,15,12,3,0,57492.6,0,80000
2026-06,naniwa-danshi-nd5,2026-08-16,13:00,セキスイハイムスーパーアリーナ,14,11,2,1,57678.57142857143,10000,85000
2026-06,naniwa-danshi-nd5,2026-08-16,17:30,セキスイハイムスーパーアリーナ,15,13,2,0,60160.066666666666,31024,80000
