ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
u2nazz8pu4,1782865133251,orebushi,2026-07-31,17:30,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,ご希望があれば郵送いたします。ご希望がない場合は当日手渡しでお願いします。,な,5.0,,,2026-07-01 00:18:53,2026-07-07 02:02:24,,deleted,1,13000,,True,2026-07
38832m7hp4,1782865972865,orebushi,2026-07-31,17:30,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,郵送,_ XA,5.0,,,2026-07-01 00:32:52,2026-07-07 02:02:24,,deleted,1,12000,"①7/31 夜 1階 W～Y 下手
②7/31 夜 2階 E列 下手
FC当選分
公演中止の際はチケットを返送していただいた場合のみ、送料・手数料を差し引いた金額を返金いたします。主催者による公演中止以外は返金対応いたしかねます。
郵送(レターパックライト分込み価格)",True,2026-07
8mq93erzbu,1782868080064,orebushi,2026-08-01,17:30,[大阪府] ＳｋｙシアターＭＢＳ,pickup_number,female,発券番号提示,_ XA,5.0,,,2026-07-01 01:08:00,2026-07-01 08:01:33,,deleted,1,16000,"主催者先行　7/5より発券可能
公演中止の時はチケット返却後に事務手数料引いた金額を返金させていただきます。
公共交通機関の遅延や公演中止以外のその他理由によりキャンセル、返金は致しかねますのでご了承ください。",True,2026-07
wmbpv64e7s,1782871744899,orebushi,2026-07-28,17:30,[大阪府] ＳｋｙシアターＭＢＳ,paper,male,入金後24時間以内に郵送,ゆ,5.0,,,2026-07-01 02:09:04,2026-07-01 11:01:42,,deleted,1,6000,公演中止のみ返金いたします。,True,2026-07
si5ppjwmrp,1782880257298,orebushi,2026-08-02,12:00,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,入金後48時間以内に郵送,T,4.6,,,2026-07-01 04:30:57,2026-07-07 02:02:24,2026-07-01 18:01:40,sold,1,22000,公演中止の場合のみ、チケット返送にて送料・手数料を差し引いた金額を返金します。,True,2026-07
lu5u817gea,1782878580719,orebushi,2026-08-02,12:00,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,入金後2-3日以内に郵送,negi,5.0,,,2026-07-01 04:03:00,2026-07-07 02:02:24,2026-07-01 13:01:40,sold,2,20000,"・レターパックプラスにて発送させていただきます
・購入者様都合によるキャンセル本人確認急な出演者の変更等
いかなる場合もキャンセル又は返金は認めません
・公演中止の場合のみ半券のつながったままのチケットをご返送いただいた後に送料等を差し引いた額を返金致します。",True,2026-07
qv6jywtuwg,1782899742339,orebushi,2026-07-08,17:30,[福岡県] キャナルシティ劇場,paper,female,公演日7日前までに郵送,S,5.0,,,2026-07-01 09:55:42,2026-07-06 08:02:10,,deleted,1,20000,"・郵送又は当日手渡しで対応させて頂きます。
・プライベート出品に変更しますので、購入希望の方はコメント下さい。
・名義人の本人確認は対応不可です。名義に関する質問は一切お答え致しかねます。
・チケットは受取次第、その場で受取連絡をお願い致します。(手渡しの場合)
・公演中止の際には諸手数料を差し引いた金額を返金致します。座席、遅刻、本人確認、体調不良、その他のトラブル等、公演中止以外は如何なる場合も返金致しかねます。
以上全てをご了承頂けた方のみご購入宜しくお願い致します。",True,2026-07
88monymwf9,1782899417632,orebushi,2026-07-08,17:30,[福岡県] キャナルシティ劇場,paper,female,公演日7日前までに郵送,S,5.0,,,2026-07-01 09:50:17,2026-07-07 02:02:24,,deleted,1,20000,"・郵送又は当日手渡しで対応させて頂きます。
・プライベート出品に変更しますので、購入希望の方はコメント下さい。
・名義人の本人確認は対応不可です。名義に関する質問は一切お答え致しかねます。
・チケットは受取次第、その場で受取連絡をお願い致します。(手渡しの場合)
・公演中止の際には諸手数料を差し引いた金額を返金致します。座席、遅刻、本人確認、体調不良、その他のトラブル等、公演中止以外は如何なる場合も返金致しかねます。
以上全てをご了承頂けた方のみご購入宜しくお願い致します。",True,2026-07
7nydbt84s7,1782899942739,orebushi,2026-07-28,17:30,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,事前手渡し又は郵送,ゆ,5.0,,,2026-07-01 09:59:02,2026-07-07 02:02:24,,deleted,1,12000,公演中止の際は返金致します。ご購入希望の方はメッセージお願いします。,True,2026-07
6nnehiu4rr,1782900431198,orebushi,2026-07-25,12:00,[大阪府] ＳｋｙシアターＭＢＳ,paper,female,郵送,A,5.0,,,2026-07-01 10:07:11,2026-07-07 02:02:24,2026-07-01 13:01:40,sold,2,25000,"レターパックプラスにて発送いたします。
体調不良などのご購入者様都合、本人確認など公演中止以外はいかなる理由であっても返金は致しかねます。
公演中止の場合のみ、半券返送後手数料差し引いた額返金いたします。",True,2026-07
