ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
g71jfgma1e,1782867765665,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同時入場,ふわ,5.0,,番手,2026-07-01 01:02:45,2026-07-02 02:01:36,,listing,2,5000,"4名義中4番手/すり替えなし/下三桁提示可/有効期限内該当名義/変更ボタン有/サイチェン可
・公演当日開場時間15〜30分前を目安に会場付近にて待ち合わせ予定です。詳細は決まり次第ご連絡致します。
・同時入場後一度チケットを回収し、当方が座席を選んだ後4番目にチケットをお渡し致します。
・チケットを受け取り次第その場で受取確認をお願い致します。
・入場時、持ち逃げ防止の為一時的に身分証をお預かりする可能性がございます。その場合チケット回収時にチケットと引き換えにご返却致します。
・公演中止の場合のみ手数料を差し引いた金額を返金致します。
公演中止以外如何なる理由も返金不可です。",True,2026-07
d384ymbz3g,1782865019685,key-to-lit-arena-tour-2026-neo-classics,2026-08-02,17:30,GLION ARENA KOBE,electronic,female,当日,ぷ,5.0,,ランダム,2026-07-01 00:16:59,2026-07-02 02:01:36,,listing,1,5000,"⚠️複数枚所持しております。購入の際はメッセージください。プラベ出品にします。
・当日指定の時間に会場にて集合していただきます。10分以上の遅刻は待たずに入場、受け取り評価のみしていただきます。
・全員で同時入場し、1度こちらで全てのチケットを回収、座席選択させていただきます。チケットお渡しまでにお時間頂く場合がございますが、ご購入者様が開演時間に着席できるようにお渡し致します。
・日本人の女性・男性のみ購入可能です。トラブル防止のため、外国人の方・日本語が通じない方の購入、並びに代理購入は御遠慮ください。
⚠️男性の方は一度メッセージで教えていただきたいです。
・チケットお渡しする際に、速やかに受け取り評価お願い致します。
・同行者登録にご協力いただく場合がございます。
・遅刻・体調不良、メンバー不在等の公演中止以外のいかなる場合でも返金は致しません。買い手様都合で当日お越しいただけない場合、こちらで代理の方を探しますので速やかに受け取り評価のみお願いいたします。
・ランダムでのお渡しになるため、ご購入者の方に座席選択権はございません。また座席に関するクレームは一切受け付けておりません。
・入場時のランダムエラーや本人確認等で入場ができなかった際の補償は致しかねます。
・持ち逃げ防止のため、入場の際に一時的に身分証をお預かりさせて頂く場合がございますが、入場後チケットと引き換えにてお返しさせて頂きます。
・チケット受け渡しのためご購入者様のお名前とお電話番号をお伺いする場合がございます。
・黒服の警備状況によりLINEの交換をしていただく場合があります。
その場合グルチャ作成をさせていただくので柔軟にご対応お願いいたします。
上記の内容にご承知いただき、ご購入お願いいたします。",True,2026-07
9wmde4kczy,1782865470927,key-to-lit-arena-tour-2026-neo-classics,2026-08-21,18:00,有明アリーナ,paper,female,当日手渡し,あ,5.0,,番手,2026-07-01 00:24:30,2026-07-02 02:01:36,,listing,2,30000,"4名義中2番手
すり替え無し/下3桁掲示可/該当/初期当選
公演中止以外キャンセル不可",True,2026-07
1kif6ew35g,1782870869948,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,17:30,朱鷺メッセ 新潟コンベンションセンター,electronic,female,ログイン情報共有,な,5.0,,ランダム記載あり,2026-07-01 01:54:29,2026-07-02 02:01:36,,listing,1,22000,"QRごと/該当名義(岩﨑・変更ボタンあり)/初期当選分/有効期限内/着ブロ申込なし
郵送物戻り、過去エラーなし
購入後会員番号下3桁提示可 下記事項にご了承いただける方のみ申請をお願いいたします。 購入後、公演前日にQRコード表示に必要なログイン情報をメッセージにてお知らせいたします。
当日入場後は速やかにファンクラブログアウト、受取完了のご連絡をお願いいたします。 名義人の身分証明書の貸し出しはいたしません。
用意されたお座席に納得がいかない、希望するお座席ではなかった等の理由でのキャンセル、返金要請、送金停止依頼などの迷惑行為はお辞めください。 お座席に納得がいかなかった場合はご自身でサイドチェンジ等行ってください。
その場合、こちらでは責任を負いませんのですべて自己責任でお願いいたします。 ログイン後、マイページの登録情報や公演申込履歴などQRコード表示、該当公演に関するページ以外へのアクセスはお控えください。
購入後のキャンセル、座席等のクレーム、買い手様の急な体調不良や公共交通機関の遅延等でのキャンセルや公演中止以外での返金はいたしません。 やむを得ず公演に参加できない場合はご自身で代わりに入場される方を探してください。
その場合も必ず受取完了の手続きをお願いいたします。 ランダムエラーで入場できなかった場合も自己責任のため返金はいたしません。
買い手様ご自身の違反行為で退場となった場合もこちらには何の責任もございませんので返金対応はいたしません。 不明な点や質問等は購入申請前に必ずお問合せください。 値下げ要請や過去の当選履歴等に関する非常識なコメントは削除、ブロックいたしますのでご了承ください。
コンビニ払いの申請通しておりませんのでご了承ください。 上記をよくお読みいただき、すべてご了承いただける日本人の方のみ申請をお願いいたします。",True,2026-07
u6j40vhatb,1782875282829,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,17:30,朱鷺メッセ 新潟コンベンションセンター,electronic,female,2名義中2番手 ,ゆず,5.0,,番手,2026-07-01 03:08:02,2026-07-02 02:01:36,,listing,2,10000,"日本語不得手の方、男性の方は購入ご遠慮ください。
当日開場時間15分前に集合
選択しなかった方のチケットをお渡しします。",True,2026-07
mp94d0d9jn,1782877522426,key-to-lit-arena-tour-2026-neo-classics,2026-08-01,17:30,GLION ARENA KOBE,electronic,none,同行,あ,5.0,,ランダム,2026-07-01 03:45:22,2026-07-02 02:01:36,,listing,1,5000,"当方が座席を選択した後、残ったチケットをランダムでお渡し致します。
ご購入様にお席をお選び頂くことはできません。
発券後、一度チケットを全て回収させていただきます。
発券した座席を回って選択致しますのでチケットをお渡しするまでにお時間を頂戴致します。会場内の電波状況が悪い場合も考えられる為トラブル無くお取引が出来る様、連絡が取れる電話番号のご提示をお願い致します。
チケット持ち逃げ防止の為、ご購入者様ご自身の使用しているスマートフォン又は、顔写真付きの身分証明書の原本、場合によっては両方を入場前にお預かりいたします。
発券したチケットと引き換えでお預かりした物を返却させていただきます。
当日は開場30分前に会場付近の指定場所にて待ち合わせの後、複数人での同時入場となります。確定のお時間や場所は、連絡ボードにてご連絡致します。
必ず時間厳守でお願い致します。買い手様の都合で待ち合わせ時間に遅れられた場合、先に入場する可能性もございますが、その際も受取連絡はして頂きます。公演前日、当日はこまめに連絡を取れる方でお願い致します。
また、ご購入は日本語が理解出来る女性の方に限らせて頂きます。
同行者登録をお願いする事になった場合、スムーズに必要な情報のご提示又はご登録をお願い致します。
また同行者登録のお約束は致しかねますのでご了承ください。
入場時にQRコード表示にご協力いただく場合がございますので、表示に必要なスマートフォンなどの端末をご用意ください。
入場時・入場後の本人確認等で入場頂けなかった場合や公演をご覧になれなかった場合などを含め、公演中止以外の如何なる場合でも返金は致しかねます。また、購入後のキャンセルもご遠慮ください。
チケットお渡し、解散後のトラブルに対しても対応は致しかねます。チケットをお渡しした時点でお取引終了となります。また、お渡ししたチケットに何か問題がある場合は、解散後に連絡ボードにてではなく、解散前に直接仰ってください。デジタルチケットの為、座席へのクレームは受け付けません。
以上全てご了承の上、ご購入お願い致します。",True,2026-07
0z8mpwtw6a,1782879783656,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,17:30,朱鷺メッセ 新潟コンベンションセンター,electronic,female,同行,hm,5.0,,同行,2026-07-01 04:23:03,2026-07-02 02:01:36,,listing,1,13800,"⚠️プライベート出品へ切り替えるため、購入希望の方は事前にコメントをお願いいたします。
初期当選/ 2連中1枚(当方との同行)/該当名義/重複すり替えなし/本人確認対応可/サイチェン不可
公演当日、開演1時間前を目途に会場付近にて待ち合わせし、同時入場していただきます。
詳細は連絡ボードにてご連絡いたします。
なお、遅刻された場合はお待ちできない可能性がございます。
その際も受取連絡をお願いしておりますので、あらかじめご了承ください。
また、ランダムエラー・本人確認エラー等を含め、公演中止以外での返金対応はいたしかねます。
トラブル防止のため、代理購入はご遠慮ください。
公演中止の場合のみ、手数料を差し引いた金額を返金いたします。
その他（交通機関の遅延・運休、体調不良、感染症関連等を含む）いかなる理由でも返金不可となります。
当方30↑猪狩担です。拒否などはございませんが気にされる方の購入はお控えください。
上記ご了承いただける方のみ、ご購入をお願いいたします。",True,2026-07
av36qocvda,1782880180358,key-to-lit-arena-tour-2026-neo-classics,2026-08-23,17:30,有明アリーナ,electronic,female,当日,もも,5.0,,番手,2026-07-01 04:29:40,2026-07-02 02:01:36,,listing,2,25000,"2名義中2番手
初期当選/すり替えなし/有効期限内/該当名義
・集合は開場時間10分前に、会場付近にて考えております。詳細は前日にお知らせいたします。
・同時入場し、一旦チケットを回収し、当方が選ばなかった席をそのままお渡しします。
・チケットお渡し時に受取連絡をお願いいたします。
・チケットお渡し後はサイチェン等構いませんが、名義が傷付かないようご配慮いただけますと幸いです。
・公演中止以外(体調不良、遅刻、ランダムエラー、その他)のキャンセルや返金はご遠慮ください。
・座席未定のためお席に関するクレームはご遠慮ください。
・代理購入不可です。",True,2026-07
d0l7dvtoor,1782882918527,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,12:30,朱鷺メッセ 新潟コンベンションセンター,paper,female,当日手渡し,h,5.0,,ランダム,2026-07-01 05:15:18,2026-07-02 02:01:36,2026-07-01 12:01:41,sold,1,4999,"ランダム配布を理解されている日本語の通じる女性の方のみご購入お願いいたします。代理購入不可。
同時に入場しチケット発券後1度解散しこちらで席を選び開演前迄にチケットをお渡し致しますので受け取り評価をお願いいたします。
座席に関するクレームは一切お受けできません。
同行者登録、QRコード表示にご協力いただく場合がございます。トラブル防止のため一時的に身分証をお預かりする場合がございます。集合等のためにお電話番号交換可能な方のみお願い致します。
開場20分前集合予定。交通機関の遅延、本人確認、ランダムエラー、出演者の変更等一切返金対応出来かねますので受け取り評価をお願いいたします。
如何なる理由がありましても公演中止以外の返金は対応不可です。
ご購入は上記に合意されたものと判断させていただきます。",True,2026-07
qagfom74q7,1782887329531,key-to-lit-arena-tour-2026-neo-classics,2026-08-21,18:00,有明アリーナ,electronic,female,同行,a,5.0,,同行,2026-07-01 06:28:49,2026-07-02 02:01:36,,listing,1,25000,"初期当選 該当名義 期限内 ボタン有 下3桁提示可
すり替えなし 過去エラー等の歴なし
・こちら同行のお譲りになります。
・当日はこちらが指定したお時間に指定した場所に集合していただきます。詳細は公演日近くなりましたらお伝えさせていただきます。
・入場後、こちらで座席確認させていただき、当方が選ばなかった方のチケットをお渡しさせていただきます。
・チケットお渡しの際にその場で受け取り評価をお願いいたします。チケットお渡し後はサイチェンしていただいて構いません。
・座席でのクレーム等は一切お受け致しません。
・ランダムエラーや本人確認等、また体調不良等の個人的な事情や交通機関等の遅刻でも公演中止以外の返金は一切できませんのでご了承ください。
遅刻等でも必ず受け取り評価はしていただきます。
・公演中止の場合のみ手数料引いた金額を返金させていただきます。
・日本人女性のみご購入お願いいたします。
当日は会場付近だと電波が悪くなる場合がございますので、スムーズにお取引を進めるためにも電話番号の交換をお願いいたします。
上記に承諾いただける方のみご購入お願いいたします。",True,2026-07
